394235,0,42
375074,42,287
1257536,329,1160
3932773,1489,178
611848,1667,1
1410,1668,132
793875,1800,237
772183,2037,224
717909,2261,248
936677,2509,64
582154,2573,221
666454,2794,47
431705,2841,402
985966,3243,197
708503,3440,323
799106,3763,42
382104,3805,179
421780,3984,82
629704,4066,227
723444,4293,216
640193,4509,3
32350,4512,4
34228,4516,3
30934,4519,4
35427,4523,4
31023,4527,4
34865,4531,3
31780,4534,3
29216,4537,3
26994,4540,5
35751,4545,3
27135,4548,3
26628,4551,3
30211,4554,4
37794,4558,4
32058,4562,4
36084,4566,3
25102,4569,3
32949,4572,4
33813,4576,4
35829,4580,3
25692,4583,4
33814,4587,3
32637,4590,91
34625,4681,3
34652,4684,52
31290,4736,4
31509,4740,3
31117,4743,3
31987,4746,12
26867,4758,8
31460,4766,3
24939,4769,3
26403,4772,3
32895,4775,4
33789,4779,3
31389,4782,4
33528,4786,0
35171,4786,7
32399,4793,1
33652,4794,7
33902,4801,3
29449,4804,4
34330,4808,4
34078,4812,3
31840,4815,1
35706,4816,6
33762,4822,1
33870,4823,6
31856,4829,1
31365,4830,3
33122,4833,4
34037,4837,2
25028,4839,6
26463,4845,1
25365,4846,155
25222,5001,3
34376,5004,4
33054,5008,2
22160,5010,4
32983,5014,4
33551,5018,5
33183,5023,3
31227,5026,4
33895,5030,4
34684,5034,3
31692,5037,4
31003,5041,3
29853,5044,3
25212,5047,3
27462,5050,3
32142,5053,4
34606,5057,4
32953,5061,3
30964,5064,4
31160,5068,3
33165,5071,3
25315,5074,4
34130,5078,4
34610,5082,3
27460,5085,3
31864,5088,4
34609,5092,4
33691,5096,3
30921,5099,18
31757,5117,125
26482,5242,4
34234,5246,3
34284,5249,10
31251,5259,4
28482,5263,3
31751,5266,4
36078,5270,4
30654,5274,3
32906,5277,5
34993,5282,3
26739,5285,3
31976,5288,4
34375,5292,3
27771,5295,4
32509,5299,3
33145,5302,3
25624,5305,4
34322,5309,4
31666,5313,3
32563,5316,2
12624,5318,3
32076,5321,4
32073,5325,3
31371,5328,4
36718,5332,4
31624,5336,3
29922,5339,4
35264,5343,3
31300,5346,11
25953,5357,158
37341,5515,12
30835,5527,4
33524,5531,2
24931,5533,16
31097,5549,3
32278,5552,4
32718,5556,3
25995,5559,2
21358,5561,4
31400,5565,2
25663,5567,4
31876,5571,3
32128,5574,4
34450,5578,4
31010,5582,3
30670,5585,114
25245,5699,23
38615,5722,48
32246,5770,4
36138,5774,11
31624,5785,3
22230,5788,3
32058,5791,4
30983,5795,3
33755,5798,5
34703,5803,3
31928,5806,4
33302,5810,4
31776,5814,3
30861,5817,3
31429,5820,3
19081,5823,3
31642,5826,94
24816,5920,22
31459,5942,3
30846,5945,4
28526,5949,12
29065,5961,3
27966,5964,4
36100,5968,13
34720,5981,2
25529,5983,4
32171,5987,4
31949,5991,3
30717,5994,4
35633,5998,4
30808,6002,4
35352,6006,4
31434,6010,3
31362,6013,4
32863,6017,3
27832,6020,3
31363,6023,4
32869,6027,3
25378,6030,3
31129,6033,3
30620,6036,4
31381,6040,4
34499,6044,4
37076,6048,3
30483,6051,4
31847,6055,3
32119,6058,3
21361,6061,3
34494,6064,4
30760,6068,125
45764,6193,3
24780,6196,16
52832,6212,4
36242,6216,5
37896,6221,3
31579,6224,3
29788,6227,4
32471,6231,3
26826,6234,7
33609,6241,23
47483,6264,3
32014,6267,17
153509,6284,3
24807,6287,4
36076,6291,5
52936,6296,4
34225,6300,7
63385,6307,4
31613,6311,3
32044,6314,0
564,6314,3
26630,6317,4
34043,6321,3
30623,6324,4
33357,6328,6
54067,6334,94
41604,6428,27
50219,6455,2
18689,6457,3
32087,6460,9
32568,6469,9
36017,6478,26
33029,6504,3
34582,6507,6
52967,6513,4
30744,6517,7
37582,6524,3
26049,6527,4
32222,6531,3
34336,6534,3
27236,6537,4
31729,6541,4
34647,6545,3
32633,6548,4
31407,6552,4
35247,6556,6
54635,6562,3
31773,6565,2
19012,6567,1
4167,6568,4
34484,6572,3
33196,6575,9
78616,6584,3
31384,6587,4
36191,6591,99
30907,6690,1
36331,6691,20
55722,6711,33
61654,6744,11
34143,6755,4
31369,6759,3
33164,6762,8
32246,6770,1
41697,6771,7
31253,6778,5
32499,6783,4
32135,6787,1
38830,6788,3
39835,6791,4
30258,6795,3
26544,6798,3
25147,6801,6
56153,6807,4
33693,6811,6
53614,6817,7
31557,6824,1
35184,6825,75
26984,6900,3
29584,6903,14
27011,6917,8
39454,6925,0
33757,6925,4
1705,6929,4
34301,6933,7
25498,6940,67
89604,7007,4
36665,7011,5
63430,7016,3
25920,7019,7
31448,7026,1
32089,7027,3
32125,7030,3
33658,7033,5
34042,7038,3
31926,7041,8
35131,7049,1
11728,7050,4
31451,7054,3
26793,7057,5
38082,7062,2
19352,7064,2
33871,7066,1
24917,7067,8
37666,7075,5
39901,7080,3
31633,7083,7
61992,7090,6
53855,7096,1
12709,7097,3
28766,7100,4
34782,7104,135
25749,7239,0
34592,7239,7
26668,7246,11
36057,7257,7
31676,7264,1
25974,7265,1
12772,7266,0
12963,7266,3
26198,7269,4
36465,7273,4
33285,7277,3
25807,7280,6
53793,7286,10
52847,7296,3
24928,7299,0
32170,7299,8
32824,7307,8
75004,7315,4
32616,7319,3
28461,7322,5
31993,7327,1
53224,7328,3
34019,7331,4
41663,7335,4
32749,7339,9
39922,7348,3
31230,7351,149
33880,7500,3
25828,7503,3
31338,7506,3
31237,7509,3
27045,7512,8
33063,7520,3
35115,7523,1
25841,7524,8
41298,7532,4
32287,7536,5
34846,7541,3
31800,7544,2
12699,7546,3
30842,7549,13
31712,7562,4
32975,7566,18
36019,7584,8
33966,7592,3
31775,7595,14
32179,7609,1
52992,7610,3
